code,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45
C09,"60,900",813,"31,288","21,327","42,636","91,130","324,179","85,415","246,686","224,438","78,174,512","3,468,827","3,555,344","4,662,686","99,735","656,637","516,672","216,319","1,326,949","841,314","480,862","230,969","5,014,507","741,765","66,393","3,626,185","324,459","632,632","905,154","1,833,979","230,540","688,626","109,423,878","17,102,696",0,"15,290,602","3,128,448","3,350,532",0,"107,151,152","146,023,430","255,447,308",194305919,61141389,255447308
C10,"133,395","19,724","25,283","62,306","62,514","66,163","251,925","187,021","615,423","666,908","8,576,523","18,595,081","6,134,022","8,783,147","145,958","770,019","1,209,121","179,532","9,701,835","584,545","1,006,668","635,500","1,634,593","279,918","139,371","1,511,462","494,695","94,211","478,875","378,936","436,525","1,128,874","64,990,073","3,780,778",0,"9,475,491","171,006","1,955,024",0,"22,737,682","38,119,981","103,110,054",88245483,14864571,103110054
C11,"260,939","56,661","307,613","380,650","203,367","527,083","2,604,176","481,443","1,375,691","2,486,842","2,067,142","2,453,556","23,425,878","13,086,206","75,072","1,341,860","1,033,959","988,923","5,721,533","565,274","664,459","157,849","245,080","376,014","146,245","976,734","230,326","564,581","170,528","82,923","106,395","596,307","63,761,309","1,455,240",0,"49,052,876","398,705","942,699",0,"38,531,517","90,381,037","154,142,346",116925401,37216945,154142346
C12,"329,409","104,181","47,259","42,973","66,394","39,798","169,364","230,980","83,601","178,194","71,795","71,306","769,946","49,885,540","356,441","101,268","53,324","304,025","267,654","669,844","5,931,830","43,327","159,509","99,794","46,290","632,625","185,711","696,422","146,175","214,183","211,972","3,303,612","65,514,746","24,084,297",0,"26,897,447","4,187,216","510,349",0,"118,316,301","173,995,610","239,510,356",216735244,22775112,239510356
C13,"7,811",457,"43,979","798,593","19,784","3,098","40,523","6,531","16,793","33,243","83,872","9,029","22,470","970,409","869,775","115,100","14,943","134,792","1,778,313","513,229","198,724","962,835","231,835","343,754","134,116","702,879","153,921","158,557","1,546,578","268,167","789,513","166,020","11,139,643","5,459,669",0,"1,513,642","298,316","586,971","711,347","2,238,005","10,807,950","21,947,593",17604071,4343522,21947593
C14,"92,842","51,187","1,783,241","8,108,178","987,844","41,530","2,701,717","628,184","2,264,257","2,222,992","9,529,572","2,129,618","3,760,934","7,107,987","749,591","4,015,630","86,956","116,982","83,082","704,041","111,675","22,242","185,825","940,949","22,239","265,514","163,049","1,456,270","100,688","1,047,832","39,035","15,931","51,537,614","43,202",0,"61,994","1,709","-2,647",0,"3,517,174","3,621,432","55,159,046",46081155,9077891,55159046
D,"398,233","95,926","589,013","1,290,600","1,099,667","875,679","3,676,584","1,051,476","5,870,813","1,648,642","3,029,809","874,175","929,088","1,274,663","100,084","678,020","16,682,834","1,113,287","676,318","3,145,932","2,795,107","4,279,634","1,157,789","1,184,638","3,478,043","5,779,075","431,427","1,255,993","3,545,667","2,984,117","2,192,515","1,074,955","75,259,803","23,104,130",0,0,0,0,0,"113,167","23,217,297","98,477,100",98296907,180193,98477100
E,"124,865","4,239","394,644","136,625","680,042","41,770","1,557,263","448,220","3,062,553","491,353","142,262","162,441","149,595","506,337","27,254","221,813","297,544","1,036,181","273,297","546,513","346,998","829,193","153,494","506,647","518,367","356,090","94,222","625,512","450,003","1,207,243","155,291","166,812","15,714,683","3,941,590","858,870",0,0,0,0,"46,489","4,846,949","20,561,632",20531323,30309,20561632
F,"143,153","10,822","61,996","40,180","31,386","29,692","190,043","52,526","123,362","58,261","567,460","125,979","125,084","263,310","15,123","12,223","297,624","51,895","107,890","145,213","258,757","66,543","284,462","88,386","4,520,549","335,385","58,073","2,674,527","468,528","223,987","128,975","24,503","11,585,897",0,0,"148,263,819","56,316,316","1,117,535",0,"412,252","206,109,922","217,695,819",217667854,27965,217695819
G,"2,004,516","54,882","7,927,788","4,737,938","1,942,257","937,471","8,564,813","1,584,759","3,227,527","3,400,738","8,946,302","4,635,900","5,325,562","9,758,738","1,573,852","721,039","773,915","408,722","5,952,057","1,588,300","2,720,393","7,133,279","5,265,072","602,430","130,567","2,543,112","520,140","646,808","900,671","3,610,684","849,498","1,114,770","100,104,500","62,340,286",0,"11,226,115","1,450,075","2,057,739","75,305","12,190,043","89,339,563","189,444,063",186781679,2662384,189444063
H,"960,693","485,690","3,313,247","1,836,728","1,512,030","1,197,487","5,593,214","3,017,425","4,287,245","2,115,244","3,622,290","1,484,034","2,691,369","3,225,230","376,669","752,520","319,823","927,618","1,869,077","13,804,752","19,158,063","374,474","1,100,847","2,740,004","205,574","2,509,261","1,000,106","1,689,687","552,761","685,943","295,286","371,536","84,075,927","26,704,966",0,"302,604","46,021","123,410","1,181","34,662,997","61,841,179","145,917,106",129332332,16584774,145917106
I,"296,567","42,864","219,462","383,221","305,686","100,969","903,371","222,302","701,801","331,969","1,058,172","223,920","704,169","824,356","67,689","533,224","217,212","299,616","550,011","5,845,744","1,825,914","669,301","1,477,721","2,709,912","401,133","6,641,558","1,558,089","2,410,283","4,236,706","1,266,015","1,433,362","1,907,935","40,370,254","67,671,621","2,369,305",0,0,0,0,"7,438,768","77,479,694","117,849,948",107393295,10456653,117849948
J,"126,823","8,299","169,339","163,987","163,686","200,884","389,834","141,131","389,966","142,317","2,655,810","138,497","303,414","564,865","27,350","346,354","308,432","317,572","521,225","11,373,259","1,678,831","787,439","12,884,484","6,681,894","408,139","12,268,348","1,482,970","2,663,515","1,983,994","521,604","1,489,114","650,942","61,954,318","28,129,771",0,"22,324,532","271,065","101,845",0,"2,692,082","53,519,295","115,473,613",109572309,5901304,115473613
K,"1,004,092","154,451","890,939","850,391","598,872","236,745","1,766,790","553,728","1,336,344","1,038,260","1,938,435","1,163,624","1,701,700","2,825,044","313,063","482,822","1,347,500","412,170","4,845,860","5,959,539","3,053,148","1,469,170","1,170,328","17,505,721","14,131,881","3,413,120","1,307,065","1,709,565","889,342","2,010,621","975,349","1,134,123","78,189,802","52,474,342",0,0,0,0,0,"2,715,872","55,190,214","133,380,016",130349001,3031015,133380016
L,"45,649","9,722","314,063","620,305","186,641","74,094","398,164","82,110","166,476","100,955","331,778","300,168","217,907","354,280","157,930","71,118","119,707","147,561","939,752","9,746,064","1,243,469","5,311,485","1,964,111","3,321,333","2,233,300","3,931,954","732,185","690,042","1,082,330","2,379,681","307,782","1,113,138","38,695,254","103,019,518",0,"19,531,319","17,661",0,0,"643,305","123,211,803","161,907,057",159681180,2225877,161907057
M,"327,639","78,283","3,324,778","3,026,441","1,140,034","940,694","8,416,845","1,245,678","3,829,891","2,040,296","7,854,967","1,899,153","2,854,345","8,598,688","673,793","599,403","875,745","496,776","17,671,140","8,250,388","1,583,872","1,344,103","6,583,466","7,666,808","441,373","6,085,145","1,570,538","1,014,623","777,032","531,290","558,122","526,587","102,827,936","2,135,398",0,"37,864,994","8,584,750",0,0,"8,345,772","56,930,914","159,758,850",147270940,12487910,159758850
N,"91,133","67,674","219,024","363,128","234,109","182,046","726,593","142,147","1,333,280","285,634","777,506","208,504","172,292","582,989","45,842","902,018","1,705,081","1,053,795","1,105,262","6,706,120","8,850,750","423,778","6,504,841","6,880,525","534,453","5,039,704","2,325,787","3,280,710","841,653","801,163","1,771,698","289,988","54,449,227","5,790,776",0,0,0,0,0,"6,723,905","12,514,681","66,963,908",56165684,10798224,66963908
