권역,지역,33부문,부문명,3부문,old_33부문,new_3부문및지역
서남권,전북,M,"전문, 과학 및 기술 서비스",서비스,290,6
서남권,전북,N,사업지원서비스,서비스,291,6
서남권,전북,O,"공공행정, 국방 및 사회보장",서비스,292,6
서남권,전북,P,교육서비스,서비스,293,6
서남권,전북,Q,보건 및 사회복지 서비스,서비스,294,6
서남권,전북,R,"예술, 스포츠 및 여가 관련 서비스",서비스,295,6
서남권,전북,S,기타 서비스,서비스,296,6
서남권,전북,T,기타,서비스,297,6
서남권,전남,A,농림수산품,농산품,298,4
서남권,전남,B,광산품,공산품,299,5
서남권,전남,C01,음식료품,공산품,300,5
서남권,전남,C02,섬유 및 가죽제품,공산품,301,5
서남권,전남,C03,"목재 및 종이, 인쇄",공산품,302,5
서남권,전남,C04,석탄 및 석유제품,공산품,303,5
서남권,전남,C05,화학제품,공산품,304,5
서남권,전남,C06,비금속광물제품,공산품,305,5
서남권,전남,C07,1차 금속제품,공산품,306,5
서남권,전남,C08,금속가공제품,공산품,307,5
서남권,전남,C09,"컴퓨터, 전자 및 광학기기",공산품,308,5
서남권,전남,C10,전기장비,공산품,309,5
서남권,전남,C11,기계 및 장비,공산품,310,5
서남권,전남,C12,운송장비,공산품,311,5
서남권,전남,C13,기타 제조업 제품,공산품,312,5
서남권,전남,C14,제조임가공 및 산업용 장비 수리,공산품,313,5
서남권,전남,D,"전력, 가스 및 증기",서비스,314,6
서남권,전남,E,"수도, 폐기물처리 및 재활용서비스",서비스,315,6
서남권,전남,F,건설,서비스,316,6
서남권,전남,G,도소매 및 상품중개서비스,서비스,317,6
서남권,전남,H,운송서비스,서비스,318,6
서남권,전남,I,음식점 및 숙박서비스,서비스,319,6
서남권,전남,J,정보통신 및 방송 서비스,서비스,320,6
서남권,전남,K,금융 및 보험 서비스,서비스,321,6
서남권,전남,L,부동산서비스,서비스,322,6
서남권,전남,M,"전문, 과학 및 기술 서비스",서비스,323,6
서남권,전남,N,사업지원서비스,서비스,324,6
서남권,전남,O,"공공행정, 국방 및 사회보장",서비스,325,6
서남권,전남,P,교육서비스,서비스,326,6
서남권,전남,Q,보건 및 사회복지 서비스,서비스,327,6
서남권,전남,R,"예술, 스포츠 및 여가 관련 서비스",서비스,328,6
서남권,전남,S,기타 서비스,서비스,329,6
서남권,전남,T,기타,서비스,330,6
동남권,대구,A,농림수산품,농산품,331,7
동남권,대구,B,광산품,공산품,332,8
동남권,대구,C01,음식료품,공산품,333,8
동남권,대구,C02,섬유 및 가죽제품,공산품,334,8
동남권,대구,C03,"목재 및 종이, 인쇄",공산품,335,8
동남권,대구,C04,석탄 및 석유제품,공산품,336,8
동남권,대구,C05,화학제품,공산품,337,8
동남권,대구,C06,비금속광물제품,공산품,338,8
동남권,대구,C07,1차 금속제품,공산품,339,8
동남권,대구,C08,금속가공제품,공산품,340,8
동남권,대구,C09,"컴퓨터, 전자 및 광학기기",공산품,341,8
동남권,대구,C10,전기장비,공산품,342,8
동남권,대구,C11,기계 및 장비,공산품,343,8
동남권,대구,C12,운송장비,공산품,344,8
동남권,대구,C13,기타 제조업 제품,공산품,345,8
동남권,대구,C14,제조임가공 및 산업용 장비 수리,공산품,346,8
동남권,대구,D,"전력, 가스 및 증기",서비스,347,9
동남권,대구,E,"수도, 폐기물처리 및 재활용서비스",서비스,348,9
동남권,대구,F,건설,서비스,349,9
동남권,대구,G,도소매 및 상품중개서비스,서비스,350,9
동남권,대구,H,운송서비스,서비스,351,9
동남권,대구,I,음식점 및 숙박서비스,서비스,352,9
동남권,대구,J,정보통신 및 방송 서비스,서비스,353,9
동남권,대구,K,금융 및 보험 서비스,서비스,354,9
동남권,대구,L,부동산서비스,서비스,355,9
동남권,대구,M,"전문, 과학 및 기술 서비스",서비스,356,9
동남권,대구,N,사업지원서비스,서비스,357,9
동남권,대구,O,"공공행정, 국방 및 사회보장",서비스,358,9
동남권,대구,P,교육서비스,서비스,359,9
동남권,대구,Q,보건 및 사회복지 서비스,서비스,360,9
동남권,대구,R,"예술, 스포츠 및 여가 관련 서비스",서비스,361,9
동남권,대구,S,기타 서비스,서비스,362,9
동남권,대구,T,기타,서비스,363,9
동남권,경북,A,농림수산품,농산품,364,7
동남권,경북,B,광산품,공산품,365,8
동남권,경북,C01,음식료품,공산품,366,8
동남권,경북,C02,섬유 및 가죽제품,공산품,367,8
동남권,경북,C03,"목재 및 종이, 인쇄",공산품,368,8
동남권,경북,C04,석탄 및 석유제품,공산품,369,8
동남권,경북,C05,화학제품,공산품,370,8
동남권,경북,C06,비금속광물제품,공산품,371,8
동남권,경북,C07,1차 금속제품,공산품,372,8
동남권,경북,C08,금속가공제품,공산품,373,8
동남권,경북,C09,"컴퓨터, 전자 및 광학기기",공산품,374,8
동남권,경북,C10,전기장비,공산품,375,8
동남권,경북,C11,기계 및 장비,공산품,376,8
동남권,경북,C12,운송장비,공산품,377,8
동남권,경북,C13,기타 제조업 제품,공산품,378,8
동남권,경북,C14,제조임가공 및 산업용 장비 수리,공산품,379,8
동남권,경북,D,"전력, 가스 및 증기",서비스,380,9
동남권,경북,E,"수도, 폐기물처리 및 재활용서비스",서비스,381,9
동남권,경북,F,건설,서비스,382,9
동남권,경북,G,도소매 및 상품중개서비스,서비스,383,9
동남권,경북,H,운송서비스,서비스,384,9
동남권,경북,I,음식점 및 숙박서비스,서비스,385,9
동남권,경북,J,정보통신 및 방송 서비스,서비스,386,9
동남권,경북,K,금융 및 보험 서비스,서비스,387,9
동남권,경북,L,부동산서비스,서비스,388,9
동남권,경북,M,"전문, 과학 및 기술 서비스",서비스,389,9
동남권,경북,N,사업지원서비스,서비스,390,9
동남권,경북,O,"공공행정, 국방 및 사회보장",서비스,391,9
동남권,경북,P,교육서비스,서비스,392,9
동남권,경북,Q,보건 및 사회복지 서비스,서비스,393,9
동남권,경북,R,"예술, 스포츠 및 여가 관련 서비스",서비스,394,9
동남권,경북,S,기타 서비스,서비스,395,9
동남권,경북,T,기타,서비스,396,9
동남권,부산,A,농림수산품,농산품,397,7
동남권,부산,B,광산품,공산품,398,8
동남권,부산,C01,음식료품,공산품,399,8
동남권,부산,C02,섬유 및 가죽제품,공산품,400,8
동남권,부산,C03,"목재 및 종이, 인쇄",공산품,401,8
동남권,부산,C04,석탄 및 석유제품,공산품,402,8
동남권,부산,C05,화학제품,공산품,403,8
동남권,부산,C06,비금속광물제품,공산품,404,8
동남권,부산,C07,1차 금속제품,공산품,405,8
동남권,부산,C08,금속가공제품,공산품,406,8
동남권,부산,C09,"컴퓨터, 전자 및 광학기기",공산품,407,8
동남권,부산,C10,전기장비,공산품,408,8
동남권,부산,C11,기계 및 장비,공산품,409,8
동남권,부산,C12,운송장비,공산품,410,8
동남권,부산,C13,기타 제조업 제품,공산품,411,8
동남권,부산,C14,제조임가공 및 산업용 장비 수리,공산품,412,8
동남권,부산,D,"전력, 가스 및 증기",서비스,413,9
동남권,부산,E,"수도, 폐기물처리 및 재활용서비스",서비스,414,9
동남권,부산,F,건설,서비스,415,9
동남권,부산,G,도소매 및 상품중개서비스,서비스,416,9
동남권,부산,H,운송서비스,서비스,417,9
동남권,부산,I,음식점 및 숙박서비스,서비스,418,9
동남권,부산,J,정보통신 및 방송 서비스,서비스,419,9
동남권,부산,K,금융 및 보험 서비스,서비스,420,9
동남권,부산,L,부동산서비스,서비스,421,9
동남권,부산,M,"전문, 과학 및 기술 서비스",서비스,422,9
동남권,부산,N,사업지원서비스,서비스,423,9
동남권,부산,O,"공공행정, 국방 및 사회보장",서비스,424,9
동남권,부산,P,교육서비스,서비스,425,9
동남권,부산,Q,보건 및 사회복지 서비스,서비스,426,9
동남권,부산,R,"예술, 스포츠 및 여가 관련 서비스",서비스,427,9
동남권,부산,S,기타 서비스,서비스,428,9
동남권,부산,T,기타,서비스,429,9
동남권,울산,A,농림수산품,농산품,430,7
동남권,울산,B,광산품,공산품,431,8
동남권,울산,C01,음식료품,공산품,432,8
동남권,울산,C02,섬유 및 가죽제품,공산품,433,8
동남권,울산,C03,"목재 및 종이, 인쇄",공산품,434,8
동남권,울산,C04,석탄 및 석유제품,공산품,435,8
동남권,울산,C05,화학제품,공산품,436,8
동남권,울산,C06,비금속광물제품,공산품,437,8
동남권,울산,C07,1차 금속제품,공산품,438,8
동남권,울산,C08,금속가공제품,공산품,439,8
동남권,울산,C09,"컴퓨터, 전자 및 광학기기",공산품,440,8
동남권,울산,C10,전기장비,공산품,441,8
동남권,울산,C11,기계 및 장비,공산품,442,8
동남권,울산,C12,운송장비,공산품,443,8
동남권,울산,C13,기타 제조업 제품,공산품,444,8
동남권,울산,C14,제조임가공 및 산업용 장비 수리,공산품,445,8
동남권,울산,D,"전력, 가스 및 증기",서비스,446,9
동남권,울산,E,"수도, 폐기물처리 및 재활용서비스",서비스,447,9
동남권,울산,F,건설,서비스,448,9
동남권,울산,G,도소매 및 상품중개서비스,서비스,449,9
동남권,울산,H,운송서비스,서비스,450,9
동남권,울산,I,음식점 및 숙박서비스,서비스,451,9
동남권,울산,J,정보통신 및 방송 서비스,서비스,452,9
동남권,울산,K,금융 및 보험 서비스,서비스,453,9
동남권,울산,L,부동산서비스,서비스,454,9
동남권,울산,M,"전문, 과학 및 기술 서비스",서비스,455,9
동남권,울산,N,사업지원서비스,서비스,456,9
동남권,울산,O,"공공행정, 국방 및 사회보장",서비스,457,9
동남권,울산,P,교육서비스,서비스,458,9
동남권,울산,Q,보건 및 사회복지 서비스,서비스,459,9
동남권,울산,R,"예술, 스포츠 및 여가 관련 서비스",서비스,460,9
동남권,울산,S,기타 서비스,서비스,461,9
동남권,울산,T,기타,서비스,462,9
동남권,경남,A,농림수산품,농산품,463,7
동남권,경남,B,광산품,공산품,464,8
동남권,경남,C01,음식료품,공산품,465,8
동남권,경남,C02,섬유 및 가죽제품,공산품,466,8
동남권,경남,C03,"목재 및 종이, 인쇄",공산품,467,8
동남권,경남,C04,석탄 및 석유제품,공산품,468,8
동남권,경남,C05,화학제품,공산품,469,8
동남권,경남,C06,비금속광물제품,공산품,470,8
동남권,경남,C07,1차 금속제품,공산품,471,8
동남권,경남,C08,금속가공제품,공산품,472,8
동남권,경남,C09,"컴퓨터, 전자 및 광학기기",공산품,473,8
동남권,경남,C10,전기장비,공산품,474,8
동남권,경남,C11,기계 및 장비,공산품,475,8
동남권,경남,C12,운송장비,공산품,476,8
동남권,경남,C13,기타 제조업 제품,공산품,477,8
동남권,경남,C14,제조임가공 및 산업용 장비 수리,공산품,478,8
동남권,경남,D,"전력, 가스 및 증기",서비스,479,9
동남권,경남,E,"수도, 폐기물처리 및 재활용서비스",서비스,480,9
동남권,경남,F,건설,서비스,481,9
동남권,경남,G,도소매 및 상품중개서비스,서비스,482,9
동남권,경남,H,운송서비스,서비스,483,9
동남권,경남,I,음식점 및 숙박서비스,서비스,484,9
동남권,경남,J,정보통신 및 방송 서비스,서비스,485,9
동남권,경남,K,금융 및 보험 서비스,서비스,486,9
동남권,경남,L,부동산서비스,서비스,487,9
동남권,경남,M,"전문, 과학 및 기술 서비스",서비스,488,9
동남권,경남,N,사업지원서비스,서비스,489,9
동남권,경남,O,"공공행정, 국방 및 사회보장",서비스,490,9
동남권,경남,P,교육서비스,서비스,491,9
동남권,경남,Q,보건 및 사회복지 서비스,서비스,492,9
동남권,경남,R,"예술, 스포츠 및 여가 관련 서비스",서비스,493,9
동남권,경남,S,기타 서비스,서비스,494,9
동남권,경남,T,기타,서비스,495,9
강원권,강원,A,농림수산품,농산품,496,7
강원권,강원,B,광산품,공산품,497,8
강원권,강원,C01,음식료품,공산품,498,8
강원권,강원,C02,섬유 및 가죽제품,공산품,499,8
강원권,강원,C03,"목재 및 종이, 인쇄",공산품,500,8
강원권,강원,C04,석탄 및 석유제품,공산품,501,8
강원권,강원,C05,화학제품,공산품,502,8
강원권,강원,C06,비금속광물제품,공산품,503,8
강원권,강원,C07,1차 금속제품,공산품,504,8
강원권,강원,C08,금속가공제품,공산품,505,8
강원권,강원,C09,"컴퓨터, 전자 및 광학기기",공산품,506,8
강원권,강원,C10,전기장비,공산품,507,8
강원권,강원,C11,기계 및 장비,공산품,508,8
강원권,강원,C12,운송장비,공산품,509,8
강원권,강원,C13,기타 제조업 제품,공산품,510,8
강원권,강원,C14,제조임가공 및 산업용 장비 수리,공산품,511,8
강원권,강원,D,"전력, 가스 및 증기",서비스,512,9
강원권,강원,E,"수도, 폐기물처리 및 재활용서비스",서비스,513,9
강원권,강원,F,건설,서비스,514,9
강원권,강원,G,도소매 및 상품중개서비스,서비스,515,9
강원권,강원,H,운송서비스,서비스,516,9
강원권,강원,I,음식점 및 숙박서비스,서비스,517,9
강원권,강원,J,정보통신 및 방송 서비스,서비스,518,9
강원권,강원,K,금융 및 보험 서비스,서비스,519,9
강원권,강원,L,부동산서비스,서비스,520,9
강원권,강원,M,"전문, 과학 및 기술 서비스",서비스,521,9
강원권,강원,N,사업지원서비스,서비스,522,9
강원권,강원,O,"공공행정, 국방 및 사회보장",서비스,523,9
강원권,강원,P,교육서비스,서비스,524,9
강원권,강원,Q,보건 및 사회복지 서비스,서비스,525,9
강원권,강원,R,"예술, 스포츠 및 여가 관련 서비스",서비스,526,9
강원권,강원,S,기타 서비스,서비스,527,9
강원권,강원,T,기타,서비스,528,9
제주권,제주,A,농림수산품,농산품,529,4
제주권,제주,B,광산품,공산품,530,5
제주권,제주,C01,음식료품,공산품,531,5
제주권,제주,C02,섬유 및 가죽제품,공산품,532,5
제주권,제주,C03,"목재 및 종이, 인쇄",공산품,533,5
제주권,제주,C04,석탄 및 석유제품,공산품,534,5
제주권,제주,C05,화학제품,공산품,535,5
제주권,제주,C06,비금속광물제품,공산품,536,5
제주권,제주,C07,1차 금속제품,공산품,537,5
제주권,제주,C08,금속가공제품,공산품,538,5
제주권,제주,C09,"컴퓨터, 전자 및 광학기기",공산품,539,5
제주권,제주,C10,전기장비,공산품,540,5
제주권,제주,C11,기계 및 장비,공산품,541,5
제주권,제주,C12,운송장비,공산품,542,5
제주권,제주,C13,기타 제조업 제품,공산품,543,5
제주권,제주,C14,제조임가공 및 산업용 장비 수리,공산품,544,5
제주권,제주,D,"전력, 가스 및 증기",서비스,545,6
제주권,제주,E,"수도, 폐기물처리 및 재활용서비스",서비스,546,6
제주권,제주,F,건설,서비스,547,6
제주권,제주,G,도소매 및 상품중개서비스,서비스,548,6
제주권,제주,H,운송서비스,서비스,549,6
제주권,제주,I,음식점 및 숙박서비스,서비스,550,6
제주권,제주,J,정보통신 및 방송 서비스,서비스,551,6
제주권,제주,K,금융 및 보험 서비스,서비스,552,6
제주권,제주,L,부동산서비스,서비스,553,6
제주권,제주,M,"전문, 과학 및 기술 서비스",서비스,554,6
제주권,제주,N,사업지원서비스,서비스,555,6
제주권,제주,O,"공공행정, 국방 및 사회보장",서비스,556,6
제주권,제주,P,교육서비스,서비스,557,6
제주권,제주,Q,보건 및 사회복지 서비스,서비스,558,6
제주권,제주,R,"예술, 스포츠 및 여가 관련 서비스",서비스,559,6
제주권,제주,S,기타 서비스,서비스,560,6
제주권,제주,T,기타,서비스,561,6
수입계,수입계,A,농림수산품,농산품,562,10
수입계,수입계,B,광산품,공산품,563,11
수입계,수입계,C01,음식료품,공산품,564,11
수입계,수입계,C02,섬유 및 가죽제품,공산품,565,11
수입계,수입계,C03,"목재 및 종이, 인쇄",공산품,566,11
수입계,수입계,C04,석탄 및 석유제품,공산품,567,11
수입계,수입계,C05,화학제품,공산품,568,11
수입계,수입계,C06,비금속광물제품,공산품,569,11
수입계,수입계,C07,1차 금속제품,공산품,570,11
수입계,수입계,C08,금속가공제품,공산품,571,11
수입계,수입계,C09,"컴퓨터, 전자 및 광학기기",공산품,572,11
수입계,수입계,C10,전기장비,공산품,573,11
수입계,수입계,C11,기계 및 장비,공산품,574,11
수입계,수입계,C12,운송장비,공산품,575,11
