,,KOR,KOR,KOR,CHN,CHN,CHN,USA,USA,USA,JPN,JPN,JPN,EU,EU,EU,ROW,ROW,ROW,KOR,KOR,KOR,CHN,CHN,CHN,USA,USA,USA,JPN,JPN,JPN,EU,EU,EU,ROW,ROW,ROW,Total
,,Agr,Manu,Serv,Agr,Manu,Serv,Agr,Manu,Serv,Agr,Manu,Serv,Agr,Manu,Serv,Agr,Manu,Serv,Cons,Inv,Exp,Cons,Inv,Exp,Cons,Inv,Exp,Cons,Inv,Exp,Cons,Inv,Exp,Cons,Inv,Exp,Tot
USA,Serv,305.516885,9533.444003999997,11819.125874,2650.6629499999995,24156.399326,23409.050209999998,100286.072241,1495083.5082820002,9182058.183822999,518.0494070000002,12475.228920999998,31312.719630000007,1479.680476,51671.765154000015,137418.0353490001,8672.364797999997,110700.46322700006,206787.82985100007,3745.769043,4051.770028000001,9089.335512999998,12965.360922000003,8267.892749,39807.850454,13805040.838871,2878669.177736,5.749214,14958.746137999997,6611.468701,4701.456935000001,42878.916845000036,36136.03210399999,18474.553478,146521.53403400004,55871.89695599999,94709.375314,28592845.825443003
JPN,Agr,2.402194,19.025618,16.006585,32.03537,81.816363,13.619302999999999,9.943466,181.65879500000003,180.86351599999998,12151.387327,46432.888852,13507.012981,3.02474,15.186760999999999,4.101866000000005,21.097896,79.019274,49.15948100000004,12.479954,1.745825,4.367308,27.269344999999998,6.412393,26.290687000000002,97.59924400000001,0.438172,8.641112,35608.514744,2593.40473,1.8e-05,12.622922999999998,0.5999609999999999,1.6456889999999997,192.14596,3.662545,10.322678999999997,111408.41367699999
JPN,Manu,285.073267,25944.064457999997,7394.454390000001,3144.068526,77238.38447100004,20514.177785000003,549.1220589999999,30608.698138000007,19202.492216000002,18072.497014999997,949710.4645540001,612993.988661,417.67519600000014,21021.992009000012,9255.22361899999,3380.6976449999993,103821.12672600005,48337.55905200001,2835.7277430000004,7930.578400000001,469.4586660000001,6482.85875,27046.618824,2994.692716,25371.300646000003,35847.961671,1233.7541690000005,515330.964979,184578.291548,0.024287000000000003,12185.709674999995,13904.888299,306.0755700000001,49314.621137999995,81067.95623499999,1398.2032860000002,2920191.4463890004
JPN,Serv,90.69056200000001,5717.448385999999,3688.2115199999994,1122.2799650000004,18205.571888000002,9354.991984,170.99715699999996,5700.610629,11174.492955000002,22472.869726999998,496623.961852,1341540.0850600002,221.854632,10340.795390999996,19595.80061400001,1329.2889779999998,32800.895689000004,41426.14647700001,1276.5476919999996,1698.7939550000003,2692.8234690000004,3011.0049289999997,6014.328404999999,14351.297564999999,6977.446613,6648.333789000001,5850.968369000001,2877494.8411720004,894873.9372360003,0.31133199999999983,5316.216474999999,3735.1519770000014,1268.3852570000001,21264.119797000007,16876.801670999997,6738.082488,5897666.385657
EU,Agr,13.580900000000003,139.79845400000002,62.931181,405.7465369999998,971.5348890000001,229.16667899999993,442.47497899999996,1436.322977,452.3786940000001,45.59725600000001,179.602918,99.51136899999999,58655.52698799998,223743.92515000002,42486.18956699998,3056.283877,9243.005694000005,1909.3892040000014,78.50066100000001,8.706225,17.091974999999998,523.627653,60.14228700000001,318.935396,893.3648020000003,36.718398,589.9369629999999,231.80253,12.932350000000001,25.78678499999999,187760.15684100002,11268.78095,2136.173416,13694.260693999995,837.5704789999999,1686.349218,563753.8049359998
EU,Manu,348.2793509999998,23565.784589000014,9566.342195,6084.693143999995,100318.01928399998,36721.850515,2534.696202999998,85880.04360900001,64510.050691000004,388.2936529999997,27790.69644,19200.993148999994,86886.207214,2224800.8363360045,1292106.364324,23823.471716000015,349114.1730380001,255447.633079,6234.113813999999,9102.475221,140.35323400000004,24265.594006,44616.88113299995,2324.7795419999975,125255.95757600003,62838.218149999964,5176.517845999996,19298.28561800002,9042.448195999996,214.175861,1599505.7342670006,888282.2228809999,21765.509967999995,328455.36516000004,259158.79602899987,15726.521939,8030492.378971005
EU,Serv,167.15714999999983,6849.512176000001,9320.168531000003,3550.0483839999993,34848.24257699999,36768.321256,778.828745,21543.238620999997,66465.94411600003,198.16014500000003,8043.122991999997,18920.84266799999,120261.41178999994,1986206.5162370014,6683655.9031049935,11507.828309,134230.69767499997,321639.1892829999,3466.237234999999,3251.823525000001,985.5252559999996,21087.038294000005,13796.348708000012,14412.525278999992,51879.760449000016,23246.198962999995,37987.89722800004,10435.427027000003,4119.248553999998,1424.2514479999998,8371820.379401,2213748.3558879998,158470.57895700008,225672.26371100018,95735.05758499996,115081.48681799998,20831575.538086
ROW,Agr,209.18852099999995,2298.3611289999994,958.7923190000005,13475.245622999999,30130.32543900001,3994.593188,6644.907886999999,21651.633997000004,7115.3394579999995,1157.577549,4489.036509,1307.2080310000001,5016.353707,24915.924561999993,3971.907772000005,425102.143528,941970.584175,247691.45008900022,1244.008235,45.895421000000006,141.30015600000004,13738.891726999998,1341.7825500000006,1485.477869,10823.551567000002,55.90785299999999,1114.2214000000001,3245.447176,235.38307100000003,86.493809,18450.734155,947.090769,830.465859,1288314.8028470003,66576.674096,2549.977948,3153328.6799910003
ROW,Manu,1153.3666150000001,147005.12705699995,46761.518941,17637.78383599999,625596.2528609998,140915.36067300008,5987.041617999996,393079.67783099995,201365.41070100002,1240.5989680000007,163672.43528,54038.78734599999,10051.779219999995,480092.8629340003,201955.0844499999,300672.78931799997,4810001.664177998,2834854.2201119987,14893.335985,11215.374528,1663.463342,49388.739152000046,40595.56428000004,17337.658081000012,292904.7407050001,161439.67443800016,16458.26224,47131.457981999985,24181.478278999995,1101.6401589999996,246024.13198700012,82748.37969099997,12147.337971999996,3462275.5081150006,1560526.3526710002,34037.317111,16512152.178656995
ROW,Serv,428.9834749999997,18609.001778000005,26204.420337999993,8927.599563999996,94026.30900899998,71935.03677699999,3186.388204999999,70322.274305,165963.302781,644.1605730000003,22205.254924,45294.920222,4958.264815000001,131336.4711850001,343817.1803349997,338494.7208299999,2882448.586081002,8628206.787539002,8084.430950000002,5103.901847999997,10764.30491599999,46701.47415600006,27348.074454999987,133258.22108200003,114413.26038000004,59007.36183900004,102905.801379,24441.275548999998,8384.517509000005,6156.0093300000035,138434.88057500002,76260.42154500002,71986.10169499995,14291202.998587,4367640.710198998,196180.85791600004,32545284.266646
