cons,old,new
CHN_C24,555,5
CHN_C25,556,5
CHN_C26,557,5
CHN_C27,558,5
CHN_C28,559,5
CHN_C29,560,5
CHN_C30,561,5
CHN_C31T33,562,5
CHN_D,563,6
CHN_E,564,6
CHN_F,565,6
CHN_G,566,6
CHN_H49,567,6
CHN_H50,568,6
CHN_H51,569,6
CHN_H52,570,6
CHN_H53,571,6
CHN_I,572,6
CHN_J58T60,573,6
CHN_J61,574,6
CHN_J62_63,575,6
CHN_K,576,6
CHN_L,577,6
CHN_M,578,6
CHN_N,579,6
CHN_O,580,6
CHN_P,581,6
CHN_Q,582,6
CHN_R,583,6
CHN_S,584,6
CHN_T,585,6
CIV_A01_02,586,4
CIV_A03,587,4
CIV_B05_06,588,5
CIV_B07_08,589,5
CIV_B09,590,5
CIV_C10T12,591,5
CIV_C13T15,592,5
CIV_C16,593,5
CIV_C17_18,594,5
CIV_C19,595,5
CIV_C20,596,5
CIV_C21,597,5
CIV_C22,598,5
CIV_C23,599,5
CIV_C24,600,5
CIV_C25,601,5
CIV_C26,602,5
CIV_C27,603,5
CIV_C28,604,5
CIV_C29,605,5
CIV_C30,606,5
CIV_C31T33,607,5
CIV_D,608,6
CIV_E,609,6
CIV_F,610,6
CIV_G,611,6
CIV_H49,612,6
CIV_H50,613,6
CIV_H51,614,6
CIV_H52,615,6
CIV_H53,616,6
CIV_I,617,6
CIV_J58T60,618,6
CIV_J61,619,6
CIV_J62_63,620,6
CIV_K,621,6
CIV_L,622,6
CIV_M,623,6
CIV_N,624,6
CIV_O,625,6
CIV_P,626,6
CIV_Q,627,6
CIV_R,628,6
CIV_S,629,6
CIV_T,630,6
CMR_A01_02,631,7
CMR_A03,632,7
CMR_B05_06,633,8
CMR_B07_08,634,8
CMR_B09,635,8
CMR_C10T12,636,8
CMR_C13T15,637,8
CMR_C16,638,8
CMR_C17_18,639,8
CMR_C19,640,8
CMR_C20,641,8
CMR_C21,642,8
CMR_C22,643,8
CMR_C23,644,8
CMR_C24,645,8
CMR_C25,646,8
CMR_C26,647,8
CMR_C27,648,8
CMR_C28,649,8
CMR_C29,650,8
CMR_C30,651,8
CMR_C31T33,652,8
CMR_D,653,9
CMR_E,654,9
CMR_F,655,9
CMR_G,656,9
